ncm_code,description,full_description,chapter,aec
0207.25.00,"Sin trocear, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, congelados",02,10
0207.26.00,"Trozos y despojos, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Trozos y despojos, frescos o refrigerados",02,10
0207.27.00,"Trozos y despojos, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Trozos y despojos, congelados",02,10
0207.41.00,"Sin trocear, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, frescos o refrigerados",02,10
0207.42.00,"Sin trocear, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, congelados",02,10
0207.43.00,"Hígados grasos, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Hígados grasos, frescos o refrigerados",02,10
0207.44.00,"Los demás, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Los demás, frescos o refrigerados",02,10
0207.45.00,"Los demás, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Los demás, congelados",02,10
0207.51.00,"Sin trocear, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, frescos o refrigerados",02,10
0207.52.00,"Sin trocear, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, congelados",02,10
0207.53.00,"Hígados grasos, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Hígados grasos, frescos o refrigerados",02,10
0207.54.00,"Los demás, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Los demás, frescos o refrigerados",02,10
0207.55.00,"Los demás, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Los demás, congelados",02,10
0207.60.00,De pintada,"Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > De pintada",02,10
0208.10.00,De conejo o liebre,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > De conejo o liebre",02,10
0208.30.00,De primates,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > De primates",02,10
0208.40.00,"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",02,10
0208.50.00,De reptiles (incluidas las serpientes y tortugas de mar),"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > De reptiles (incluidas las serpientes y tortugas de mar)",02,10
0208.60.00,De camellos y demás camélidos (Camelidae),"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > De camellos y demás camélidos (Camelidae)",02,10
0208.90.00,Los demás,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados. > Los demás",02,10
0209.10.11,"Fresco, refrigerado o congelado","Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados. > De cerdo > Tocino > Fresco, refrigerado o congelado",02,6
0209.10.19,Los demás,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados. > De cerdo > Tocino > Los demás",02,6
0209.10.21,"Fresca, refrigerada o congelada","Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados. > De cerdo > Grasa > Fresca, refrigerada o congelada",02,6
0209.10.29,Las demás,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados. > De cerdo > Grasa > Las demás",02,6
0209.90.00,Los demás,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados. > Los demás",02,6
0210.11.00,"Jamones, paletas, y sus trozos, sin deshuesar","Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Jamones, paletas, y sus trozos, sin deshuesar",02,10
0210.12.00,Tocino entreverado de panza (panceta) y sus trozos,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Tocino entreverado de panza (panceta) y sus trozos",02,10
0210.19.00,Las demás,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Las demás",02,10
0210.20.00,Carne de la especie bovina,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Carne de la especie bovina",02,10
0210.91.00,De primates,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > De primates",02,10
0210.92.00,"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",02,10
0210.93.00,De reptiles (incluidas las serpientes y tortugas de mar),"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > De reptiles (incluidas las serpientes y tortugas de mar)",02,10
0210.99.11,De gallos y de gallinas,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás > Carne de aves de la partida 01.05 > De gallos y de gallinas",02,10
0210.99.19,Los demás,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás > Carne de aves de la partida 01.05",02,10
0210.99.20,Carne de la especie ovina,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás > Carne de la especie ovina",02,10
0210.99.30,Carne de la especie caballar,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás > Carne de la especie caballar",02,10
0210.99.40,Despojos comestibles,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás > Despojos comestibles",02,10
0210.99.90,Los demás,"Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos. > Los demás",02,10
0301.11.10,Arawanas (Osteoglossum bicirrhosum),Peces vivos. > De agua dulce > Arawanas (Osteoglossum bicirrhosum),03,10
0301.11.90,Los demás,Peces vivos. > De agua dulce > Los demás,03,10
0301.19.00,Los demás,Peces vivos. > Los demás,03,10
0301.91.10,Para reproducción,"Peces vivos. > Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster) > Para reproducción",03,0
0301.91.90,Las demás,"Peces vivos. > Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster) > Las demás",03,10
0301.92.10,Para reproducción,Peces vivos. > Anguilas (Anguilla spp.) > Para reproducción,03,0
0301.92.90,Las demás,Peces vivos. > Anguilas (Anguilla spp.) > Las demás,03,10
0301.93.10,Para reproducción,"Peces vivos. > Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) > Para reproducción",03,0
0301.93.90,Las demás,"Peces vivos. > Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) > Las demás",03,10
0301.94.10,Para reproducción,"Peces vivos. > Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis) > Para reproducción",03,0
0301.94.90,Los demás,"Peces vivos. > Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis) > Los demás",03,10
0301.95.10,Para reproducción,Peces vivos. > Atunes del sur (Thunnus maccoyii) > Para reproducción,03,0
0301.95.90,Los demás,Peces vivos. > Atunes del sur (Thunnus maccoyii) > Los demás,03,10
0301.99.11,"Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)","Peces vivos. > Los demás > Para reproducción > Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)",03,0
0301.99.12,"Esturiones (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","Peces vivos. > Los demás > Para reproducción > Esturiones (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",03,0
0301.99.19,Los demás,Peces vivos. > Los demás > Para reproducción,03,0
0301.99.91,"Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)","Peces vivos. > Los demás > Tilapias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; sus híbridos)",03,10
0301.99.92,"Esturiones (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)","Peces vivos. > Los demás > Esturiones (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",03,10
0301.99.99,Los demás,Peces vivos. > Los demás,03,10
0302.11.00,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster)",03,10
0302.13.00,"Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Salmones del Pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou y Oncorhynchus rhodurus)",03,10
0302.14.00,Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)",03,10
0302.19.00,Los demás,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Los demás",03,10
0302.21.00,"Fletanes (halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Fletanes (halibut) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",03,10
0302.22.00,Sollas (Pleuronectes platessa),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Sollas (Pleuronectes platessa)",03,10
0302.23.00,Lenguados (Solea spp.),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Lenguados (Solea spp.)",03,10
0302.24.00,Rodaballos (turbots) (Psetta maxima),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Rodaballos (turbots) (Psetta maxima)",03,10
0302.29.00,Los demás,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Los demás",03,10
0302.31.00,Albacoras o atunes blancos (Thunnus alalunga),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Albacoras o atunes blancos (Thunnus alalunga)",03,10
0302.32.00,Atunes de aleta amarilla (rabiles) (Thunnus albacares),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Atunes de aleta amarilla (rabiles) (Thunnus albacares)",03,10
0302.33.00,Listados (bonitos de vientre rayado) (Katsuwonus pelamis),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Listados (bonitos de vientre rayado) (Katsuwonus pelamis)",03,10
0302.34.00,Patudos o atunes ojo grande (Thunnus obesus),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Patudos o atunes ojo grande (Thunnus obesus)",03,10
0302.35.00,"Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis)",03,10
0302.36.00,Atunes del sur (Thunnus maccoyii),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Atunes del sur (Thunnus maccoyii)",03,10
0302.39.00,Los demás,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Los demás",03,10
0302.41.00,"Arenques (Clupea harengus, Clupea pallasii)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Arenques (Clupea harengus, Clupea pallasii)",03,10
0302.42.10,Anchoitas (Engraulis anchoita),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Anchoas (Engraulis spp.) > Anchoitas (Engraulis anchoita)",03,10
0302.42.90,Las demás,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Anchoas (Engraulis spp.) > Las demás",03,10
0302.43.00,"Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Sardinas (Sardina pilchardus, Sardinops spp.), sardinelas (Sardinella spp.) y espadines (Sprattus sprattus)",03,10
0302.44.00,"Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Caballas (Scomber scombrus, Scomber australasicus, Scomber japonicus)",03,10
0302.45.00,Jureles (Trachurus spp.),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Jureles (Trachurus spp.)",03,10
0302.46.00,Cobias (Rachycentron canadum),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Cobias (Rachycentron canadum)",03,10
0302.47.00,Peces espada (Xiphias gladius),"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Peces espada (Xiphias gladius)",03,10
0302.49.10,"Agujas, marlines, peces vela o picudos (Istiophoridae)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Los demás > Agujas, marlines, peces vela o picudos (Istiophoridae)",03,10
0302.49.90,Los demás,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Los demás",03,10
0302.51.00,"Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04. > Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus)",03,0
